cmcRank,name,symbol,marketPairCount,circulatingSupply,totalSupply,maxSupply,isActive,lastUpdated,dateAdded,name.1,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d,percentChange30d,percentChange60d,percentChange90d,fullyDilluttedMarketCap,marketCapByTotalSupply,dominance,ytdPriceChangePercentage
39,VeChain,USD,240,72714516834.0,85985041177.0,86712634466.0,1,2023-09-04T14:58:00.000Z,2017-08-22 00:00:00+00:00,VeChain,0.0154464447454005,20184203.29633641,1123180766.4648762,-0.44488746,-0.28765035,-2.88366111,-13.36359516,-16.4833304,-16.58976438,1339401917.01,1328163187.471518,0.1079,-3.6862
40,Maker,USD,373,977631.03695089,977631.03695089,1005577.0,1,2023-09-04T14:58:00.000Z,2017-01-29 00:00:00+00:00,Maker,1121.1246546301572,133051395.24982177,1096046258.657289,0.11844859,-0.64936305,8.73462256,-11.77629579,12.93078428,74.23872295,1127377166.83,1096046258.657289,0.1053,118.5348
41,Optimism,USD,340,798517235.0,4294967296.0,4294967296.0,1,2023-09-04T14:58:00.000Z,2022-05-31 16:19:46+00:00,Optimism,1.3325748117486038,68194764.9402905,1064083954.1081406,-0.37968437,0.0858526,-6.356816,-20.41017983,11.15696161,-11.97781601,5723365235.93,5723365235.93361,0.1022,44.3557
42,NEAR Protocol,USD,286,941671517.0,1000000000.0,,1,2023-09-04T14:58:00.000Z,2020-08-11 00:00:00+00:00,NEAR Protocol,1.1263365423396972,49355742.24854687,1060639040.4775574,-0.46369513,-0.23531974,-5.18842593,-16.70921796,-13.81631247,-24.31211149,1126336542.34,1126336542.3396971,0.1019,-11.7166
43,The Graph,USD,338,9175096493.086649,10742707237.68144,,1,2023-09-04T14:58:00.000Z,2020-12-17 00:00:00+00:00,The Graph,0.0871940801151082,25935792.74094775,800014098.6820457,-0.57704399,-0.04362855,-2.5186978,-16.74358588,-24.97311145,-25.07735236,936700475.54,936700475.5355484,0.0768,54.2878
44,Aave,USD,663,14532430.37151066,16000000.0,16000000.0,1,2023-09-04T14:58:00.000Z,2020-10-02 00:00:00+00:00,Aave,54.61746059209875,53632668.18308665,793724443.1234025,-0.34663813,0.15537368,-6.08795199,-15.08668805,-24.4031937,-9.85409508,873879369.47,873879369.47358,0.0762,4.9411
45,XDC Network,USD,62,13860908968.65,37705012698.75,,1,2023-09-04T14:58:00.000Z,2018-04-12 00:00:00+00:00,XDC Network,0.0566196581008773,9533118.84552458,784799926.772347,-0.38079548,-2.00421295,8.93486957,-17.93897778,78.79480329,73.25369688,2134844927.69,2134844927.6924624,0.0754,119.8632
46,Algorand,USD,356,7828352278.588547,7828352278.588547,10000000000.0,1,2023-09-04T14:58:00.000Z,2019-06-20 00:00:00+00:00,Algorand,0.0935816365902544,16637820.68970457,732590018.035364,-0.0022564,-0.55779815,-1.98345552,-11.54537969,-19.24336267,-31.41915003,935816365.9,732590018.035364,0.0704,-47.2679
47,USDD,USD,146,725332034.742248,725332034.742248,,1,2023-09-04T14:58:00.000Z,2022-05-02 08:07:12+00:00,USDD,0.9968615923819144,19502882.31744254,723055647.1587713,-0.03763842,-0.01944853,-0.09496858,-0.10858036,-0.1861614,-0.24645098,723055647.16,723055647.1587713,0.0695,1.5855
48,Tezos,USD,304,951281933.387391,972304887.795798,,1,2023-09-04T14:58:00.000Z,2017-10-06 00:00:00+00:00,Tezos,0.6947894512977687,12134803.39458355,660940652.5277059,-0.31780515,0.69767736,-1.38524097,-14.06724414,-11.07746786,-19.20639513,675547179.49,675547179.4857811,0.0635,-3.3752
49,MultiversX,USD,180,25915548.0,25920700.0,31415926.0,1,2023-09-04T14:58:00.000Z,2020-09-04 00:00:00+00:00,MultiversX,24.867467051644145,10038726.63566987,644454036.0153023,-0.20905805,0.30500248,-1.17056301,-19.96462589,-26.16406674,-31.24422976,781234504.7,644582153.2055523,0.0619,-24.5312
50,EOS,USD,573,1101668382.2587,1101668382.2587,,1,2023-09-04T14:58:00.000Z,2017-07-01 00:00:00+00:00,EOS,0.5780975487346961,70512708.701024,636871791.3022727,-0.25504916,-0.44186104,-1.96360514,-19.65983242,-18.41199678,-32.13951582,636871791.3,636871791.3022727,0.0612,-34.1909
40,Maker,USD,373,977631.03695089,977631.03695089,1005577.0,1,2023-09-04T14:59:00.000Z,2017-01-29 00:00:00+00:00,Maker,1121.0887013907002,133051845.7205004,1096011109.654517,0.11440421,-0.64939762,8.7150738,-11.76388711,12.9257847,74.21766106,1127341013.08,1096011109.654517,0.1053,118.5278
50,EOS,USD,573,1101668382.2587,1101668382.2587,,1,2023-09-04T14:59:00.000Z,2017-07-01 00:00:00+00:00,EOS,0.5780801858334795,70508446.26508474,636852663.1429781,-0.25813844,-0.45032167,-1.98401354,-19.66413007,-18.4231522,-32.16179049,636852663.14,636852663.1429781,0.0612,-34.1929
41,Optimism,USD,340,798517235.0,4294967296.0,4294967296.0,1,2023-09-04T14:59:00.000Z,2022-05-31 16:19:46+00:00,Optimism,1.332373984466602,68207016.67736125,1063923590.062204,-0.39732945,0.06764516,-6.4023159,-20.42361244,11.13200265,-12.01878025,5722502689.33,5722502689.325268,0.1022,44.334
42,NEAR Protocol,USD,286,941671517.0,1000000000.0,,1,2023-09-04T14:59:00.000Z,2020-08-11 00:00:00+00:00,NEAR Protocol,1.1263899394158283,49363834.17214051,1060689322.9832412,-0.43677335,-0.22595539,-5.20107265,-16.69740459,-13.80710234,-24.34308872,1126389939.42,1126389939.4158285,0.1019,-11.7124
43,The Graph,USD,338,9175096493.086649,10742707237.68144,,1,2023-09-04T14:59:00.000Z,2020-12-17 00:00:00+00:00,The Graph,0.0871924066335213,25916473.57005168,799998744.3270068,-0.57735346,-0.04176634,-2.54290026,-16.74335532,-24.98547965,-25.09975263,936682497.81,936682497.812793,0.0768,54.2849
44,Aave,USD,663,14532430.37151066,16000000.0,16000000.0,1,2023-09-04T14:59:00.000Z,2020-10-02 00:00:00+00:00,Aave,54.61583411906966,53628409.43737921,793700806.517356,-0.3440332,0.15015377,-6.10568143,-15.08836242,-24.40870313,-9.88798238,873853345.91,873853345.9051145,0.0762,4.938
45,XDC Network,USD,62,13860908968.65,37705012698.75,,1,2023-09-04T14:59:00.000Z,2018-04-12 00:00:00+00:00,XDC Network,0.0566188778373144,9529314.13733188,784789111.6101305,-0.38496806,-1.99383924,8.92270013,-17.88295558,78.82880312,73.19350647,2134815507.84,2134815507.8449163,0.0754,119.8602
46,Algorand,USD,356,7828352278.588547,7828352278.588547,10000000000.0,1,2023-09-04T14:59:00.000Z,2019-06-20 00:00:00+00:00,Algorand,0.093574341738549,16645561.91607811,732532911.3663937,-0.01418356,-0.56798457,-2.03686517,-11.5516668,-19.24223658,-31.43083705,935743417.39,732532911.3663937,0.0704,-47.272
47,USDD,USD,146,725332034.742248,725332034.742248,,1,2023-09-04T14:59:00.000Z,2022-05-02 08:07:12+00:00,USDD,0.9969204039274376,19506025.96359961,723098305.0567522,-0.00956316,-0.01402411,-0.09652383,-0.12452115,-0.17585008,-0.23608312,723098305.06,723098305.0567522,0.0695,1.5915
48,Tezos,USD,304,951281933.387391,972304887.795798,,1,2023-09-04T14:59:00.000Z,2017-10-06 00:00:00+00:00,Tezos,0.6947882298604804,12133616.72802118,660939490.5964808,-0.30928449,0.69872541,-1.40319392,-14.07115477,-11.0775476,-19.22581373,675545991.88,675545991.8763355,0.0635,-3.3754
49,MultiversX,USD,180,25915548.0,25920700.0,31415926.0,1,2023-09-04T14:59:00.000Z,2020-09-04 00:00:00+00:00,MultiversX,24.8695747861745,10038703.49890992,644508659.110695,-0.20031788,0.30868244,-1.15843914,-19.95954447,-26.14919887,-31.25365211,781300721.13,644636787.1599934,0.0619,-24.5248
